Title,Date_of_Release,Genre,Plot_summary,ImDBRating,Votes,Age_of_content,Crew_dir,Cast_stars,Plot_Keywords
Rockstar,2011,"Drama, Music, Romance            ","Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer.",7.7,"41,755",10,Imtiaz Ali,"Ranbir Kapoor, Nargis Fakhri, Shammi Kapoor, Kumud Mishra","['janardhan', 'jakhar', 'chases', 'dreams', 'becoming', 'big', 'rock', 'star,', 'falls', 'love', 'heer.']"
Vicky Donor,2012,"Comedy, Romance            ","A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",7.8,"41,385",9,Shoojit Sircar,"Ayushmann Khurrana, Yami Gautam, Annu Kapoor, Dolly Ahluwalia","['man', 'brought', 'infertility', 'doctor', 'supply', 'sperm,', 'becomes', 'biggest', 'sperm', 'donor', 'clinic.']"
Yeh Jawaani Hai Deewani,2013,"Drama, Musical, Romance            ","Kabir and Naina bond during a trekking trip. Before Naina can express herself, Kabir leaves India to pursue his career. They meet again years later, but he still cherishes his dreams more than bonds.",7.2,"41,011",8,Ayan Mukherjee,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapoor, Kalki Koechlin","['kabir', 'naina', 'bond', 'trekking', 'trip.', 'naina', 'express', 'herself,', 'kabir', 'leaves', 'india', 'pursue', 'career.', 'meet', 'years', 'later,', 'still', 'cherishes', 'dreams', 'bonds.']"
Om Shanti Om,2007,"Action, Comedy, Drama            ","In the 1970s, Om, an aspiring actor, is murdered, but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti, the love of his previous life.",6.7,"40,949",14,Farah Khan,"Shah Rukh Khan, Deepika Padukone, Arjun Rampal, Kirron Kher","['1970s,', 'om,', 'aspiring', 'actor,', 'murdered,', 'immediately', 'reincarnated', 'present', 'day.', 'attempts', 'discover', 'mystery', 'demise', 'find', 'shanti,', 'love', 'previous', 'life.']"
Talaash,2012,"Crime, Drama, Mystery            ","Inspector Surjan Shekhawat, who is dealing with a depressing past, has to investigate a high profile murder case, deal with his crumbling marriage and use the help and solace of a prostitute by the name of Rosie.",7.2,"40,862",9,"s:Reema Kagti, Priyamvada Narayanan","Aamir Khan, Kareena Kapoor, Rani Mukerji, Nawazuddin Siddiqui","['inspector', 'surjan', 'shekhawat,', 'dealing', 'depressing', 'past,', 'investigate', 'high', 'profile', 'murder', 'case,', 'deal', 'crumbling', 'marriage', 'use', 'help', 'solace', 'prostitute', 'name', 'rosie.']"
Devdas,2002,"Drama, Musical, Romance            ","After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain.",7.6,"40,271",19,Sanjay Leela Bhansali,"Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff","['wealthy', 'family', 'prohibits', 'marrying', 'woman', 'love', 'with,', 'devdas', ""mukherjee's"", 'life', 'spirals', 'control', 'takes', 'alcohol', 'life', 'vice', 'numb', 'pain.']"
Ra.One,2011,"Action, Adventure, Sci-Fi            ","When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family.",4.7,"39,711",10,Anubhav Sinha,"Shah Rukh Khan, Arjun Rampal, Kareena Kapoor, Shahana Goswami","['titular', 'antagonist', 'action', 'game', 'takes', 'physical', 'form,', ""game's"", 'less', 'powerful', 'protagonist', 'save', ""creator's"", 'family.']"
Dear Zindagi,2016,"Drama, Romance            ","Kaira is a budding cinematographer in search of a perfect life. Her encounter with Jug, an unconventional thinker, helps her gain a new perspective on life. She discovers that happiness is all about finding comfort in life's imperfections.",7.5,"37,889",5,Gauri Shinde,"Alia Bhatt, Shah Rukh Khan, Kunal Kapoor, Priyanka Moodley","['kaira', 'budding', 'cinematographer', 'search', 'perfect', 'life.', 'encounter', 'jug,', 'unconventional', 'thinker,', 'helps', 'gain', 'new', 'perspective', 'life.', 'discovers', 'happiness', 'finding', 'comfort', ""life's"", 'imperfections.']"
Tumbbad,2018,"Drama, Fantasy, Horror            ",A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,8.3,"36,251",3,"s:Rahi Anil Barve, Anand Gandhi, Adesh Prasad","Sohum Shah, Jyoti Malshe, Anita Date, Ronjini Chakraborty","['mythological', 'story', 'goddess', 'created', 'entire', 'universe.', 'plot', 'revolves', 'around', 'consequences', 'humans', 'build', 'temple', 'first-born.']"
Don,2006,"Action, Crime, Thriller            ","Vijay is recruited by a police officer to masquerade as his lookalike Don, the leader of an international gang of smugglers. Things go wrong when the officer is killed and Vijay is left to fend for himself.",7.2,"35,725",15,Farhan Akhtar,"Shah Rukh Khan, Priyanka Chopra Jonas, Arjun Rampal, Isha Koppikar","['vijay', 'recruited', 'police', 'officer', 'masquerade', 'lookalike', 'don,', 'leader', 'international', 'gang', 'smugglers.', 'things', 'go', 'wrong', 'officer', 'killed', 'vijay', 'left', 'fend', 'himself.']"
Happy New Year,2014,"Action, Comedy, Crime            ",A gang of amateur dancers takes part in a dancing competition to avenge their personal vendetta.,5.0,"35,526",7,Farah Khan,"Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan, Anupam Kher","['gang', 'amateur', 'dancers', 'takes', 'part', 'dancing', 'competition', 'avenge', 'personal', 'vendetta.']"
Gully Boy,2019,"Drama, Music, Romance            ",A coming-of-age story based on the lives of street rappers in Mumbai.,8.0,"35,479",2,Zoya Akhtar,"Vijay Varma, Nakul Roshan Sahdev, Ranveer Singh, Vijay Raaz","['coming-of-age', 'story', 'based', 'lives', 'street', 'rappers', 'mumbai.']"
Ludo,2020,"Action, Comedy, Crime            ","From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal.",7.6,"35,393",1,Anurag Basu,"Pankaj Tripathi, Abhishek Bachchan, Rajkummar Rao, Fatima Sana Shaikh","['resurfaced', 'sex', 'tape', 'rogue', 'suitcase', 'money,', 'four', 'wildly', 'different', 'stories', 'overlap', 'whims', 'fate,', 'chance', 'one', 'eccentric', 'criminal.']"
Kai po che!,2013,"Drama, Sport            ",Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.,7.8,"35,189",8,Abhishek Kapoor,"Amit Sadh, Sushant Singh Rajput, Rajkummar Rao, Amrita Puri","['three', 'friends', 'growing', 'india', 'turn', 'millennium', 'set', 'open', 'training', 'academy', 'produce', ""country's"", 'next', 'cricket', 'stars.']"
English Vinglish,2012,"Comedy, Drama, Family            ","A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",7.8,"34,909",9,Gauri Shinde,"Sridevi, Adil Hussain, Mehdi Nebbou, Priya Anand","['quiet,', 'sweet', 'tempered', 'housewife', 'endures', 'small', 'slights', 'well-educated', 'husband', 'daughter', 'every', 'day', 'inability', 'speak', 'understand', 'english.']"
Paan Singh Tomar,2012,"Action, Biography, Crime            ","The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",8.2,"34,825",9,Tigmanshu Dhulia,"Irrfan Khan, Mahie Gill, Rajesh Abhay, Hemendra Dandotiya","['story', 'paan', 'singh', 'tomar,', 'indian', 'athlete', 'seven-time', 'national', 'steeplechase', 'champion', 'becomes', 'one', 'feared', 'dacoits', 'chambal', 'valley', 'retirement.']"
Black,2005,Drama            ,"The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world.",8.2,"34,138",16,Sanjay Leela Bhansali,"Amitabh Bachchan, Rani Mukerji, Shernaz Patel, Ayesha Kapoor","['cathartic', 'tale', 'young', 'woman', ""can't"", 'see,', 'hear', 'talk', 'teacher', 'brings', 'ray', 'light', 'dark', 'world.']"
Main Hoon Na,2004,"Action, Comedy, Drama            ","An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother.",7.0,"33,815",17,Farah Khan,"Shah Rukh Khan, Sushmita Sen, Sunil Shetty, Zayed Khan","['army', 'major', 'goes', 'undercover', 'college', 'student.', 'mission', 'professional', 'personal:', 'protect', ""general's"", 'daughter', 'radical', 'militant,', 'find', 'estranged', 'half-brother.']"
Gunjan Saxena: The Kargil Girl,2020,"Action, Biography, Drama            ",Inspired by the life of a fearless young officer who made history by becoming the first Indian female Air Force officer to fly in a combat zone during the 1999 Kargil War,5.3,"33,632",1,Sharan Sharma,"Janhvi Kapoor, Pankaj Tripathi, Angad Bedi, Manav Vij","['inspired', 'life', 'fearless', 'young', 'officer', 'made', 'history', 'becoming', 'first', 'indian', 'female', 'air', 'force', 'officer', 'fly', 'combat', 'zone', '1999', 'kargil', 'war']"
Toofaan,2021,"Action, Drama, Sport            ",The story of a boxer and the struggles he faces on his journey to get to the national level competition.,5.0,"33,227",0,Rakeysh Omprakash Mehra,"Farhan Akhtar, Hussain Dalal, Imran Rashid, Vijay Raaz","['story', 'boxer', 'struggles', 'faces', 'journey', 'get', 'national', 'level', 'competition.']"
Talvar,2015,"Crime, Drama, Mystery            ",An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,8.2,"33,169",6,Meghna Gulzar,"Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah","['experienced', 'investigator', 'confronts', 'several', 'conflicting', 'theories', 'perpetrators', 'violent', 'double', 'homicide.']"
Dilwale,2015,"Action, Comedy, Drama            ","The siblings of two estranged lovers fall for each other, unaware of the violent past that drove them apart.",5.1,"33,041",6,Rohit Shetty,"Shah Rukh Khan, Kajol, Varun Dhawan, Kriti Sanon","['siblings', 'two', 'estranged', 'lovers', 'fall', 'other,', 'unaware', 'violent', 'past', 'drove', 'apart.']"
Bajirao Mastani,2015,"Action, Drama, History            ","An account of the romance between the Maratha general, Baji Rao I and Mastani, princess of Bundelkhand.",7.2,"32,759",6,Sanjay Leela Bhansali,"Ranveer Singh, Deepika Padukone, Priyanka Chopra Jonas, Tanvi Azmi","['account', 'romance', 'maratha', 'general,', 'baji', 'rao', 'mastani,', 'princess', 'bundelkhand.']"
Anand,1971,"Drama, Musical            ","The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",8.2,"32,703",50,Hrishikesh Mukherjee,"Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal, Ramesh Deo","['story', 'terminally', 'ill', 'man', 'wishes', 'live', 'life', 'fullest', 'inevitable', 'occurs,', 'told', 'best', 'friend.']"
Ek Tha Tiger,2012,"Action, Romance, Thriller            ",India's top spy Tiger and his love Zoya battle the dark world of intelligence and espionage that forbids its soldiers from loving the enemy.,5.5,"32,638",9,Kabir Khan,"Salman Khan, Katrina Kaif, Girish Karnad, Roshan Seth","[""india's"", 'top', 'spy', 'tiger', 'love', 'zoya', 'battle', 'dark', 'world', 'intelligence', 'espionage', 'forbids', 'soldiers', 'loving', 'enemy.']"
Fanaa,2006,"Action, Drama, Romance            ",A sweet blind girl Zooni meets a flirty Rehan. She ignores her friends' warnings. It's her time to discover life. Is she making the right love choice?,7.2,"31,875",15,Kunal Kohli,"Aamir Khan, Kajol, Rishi Kapoor, Tabu","['sweet', 'blind', 'girl', 'zooni', 'meets', 'flirty', 'rehan.', 'ignores', ""friends'"", 'warnings.', 'time', 'discover', 'life.', 'making', 'right', 'love', 'choice?']"
Jodhaa Akbar,2008,"Action, Drama, History            ","A sixteenth century love story about a marriage of alliance that gave birth to true love between a great Mughal emperor, Akbar, and a Rajput princess, Jodha.",7.6,"31,279",13,Ashutosh Gowariker,"Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood, Poonam Sinha","['sixteenth', 'century', 'love', 'story', 'marriage', 'alliance', 'gave', 'birth', 'true', 'love', 'great', 'mughal', 'emperor,', 'akbar,', 'rajput', 'princess,', 'jodha.']"
Stree,2018,"Comedy, Horror            ","In the small town of Chanderi, the menfolk live in fear of an evil spirit named ""Stree"" who abducts men in the night. Based on the urban legend of ""Nale Ba"" that went viral in Karnataka in the 1990s.",7.6,"31,150",3,Amar Kaushik,"Rajkummar Rao, Shraddha Kapoor, Pankaj Tripathi, Aparshakti Khurana","['small', 'town', 'chanderi,', 'menfolk', 'live', 'fear', 'evil', 'spirit', 'named', '""stree""', 'abducts', 'men', 'night.', 'based', 'urban', 'legend', '""nale', 'ba""', 'went', 'viral', 'karnataka', '1990s.']"
Dabangg,2010,"Action, Comedy, Crime            ","A corrupt police officer faces challenges from his family, gangsters and politicians.",6.2,"31,039",11,Abhinav Kashyap,"Salman Khan, Sonakshi Sinha, Sonu Sood, Arbaaz Khan","['corrupt', 'police', 'officer', 'faces', 'challenges', 'family,', 'gangsters', 'politicians.']"
Badhaai ho,2018,"Comedy, Drama            ",A man is embarrassed when he finds out his mother is pregnant.,8.0,"30,889",3,Amit Ravindernath Sharma,"Ayushmann Khurrana, Neena Gupta, Gajraj Rao, Sanya Malhotra","['man', 'embarrassed', 'finds', 'mother', 'pregnant.']"
Raanjhanaa,2013,"Drama, Romance            ","Kundan, the son of a Hindu pundit, discovers that his childhood sweetheart Zoya loves city-bred Akram and wants to marry him. However, he persistently seeks to win her heart.",7.6,"30,871",8,Aanand L. Rai,"Dhanush, Sonam Kapoor, Mohd. Zeeshan Ayyub, Swara Bhaskar","['kundan,', 'son', 'hindu', 'pundit,', 'discovers', 'childhood', 'sweetheart', 'zoya', 'loves', 'city-bred', 'akram', 'wants', 'marry', 'him.', 'however,', 'persistently', 'seeks', 'win', 'heart.']"
Piku,2015,"Comedy, Drama            ","A quirky comedy about the relationship between a daughter and her aging father, whose eccentricities drive everyone crazy.",7.6,"30,425",6,Shoojit Sircar,"Deepika Padukone, Amitabh Bachchan, Irrfan Khan, Moushumi Chatterjee","['quirky', 'comedy', 'relationship', 'daughter', 'aging', 'father,', 'whose', 'eccentricities', 'drive', 'everyone', 'crazy.']"
Wake Up Sid,2009,"Comedy, Drama, Romance            ","The story of a lazy Mumbai college student who does absolutely nothing, with a turn of events will Sid realize his potential in this world and become a success in the fast-paced life of Mumbai.",7.6,"29,820",12,Ayan Mukherjee,"Ranbir Kapoor, Konkona Sen Sharma, Supriya Pathak, Anupam Kher","['story', 'lazy', 'mumbai', 'college', 'student', 'absolutely', 'nothing,', 'turn', 'events', 'sid', 'realize', 'potential', 'world', 'become', 'success', 'fast-paced', 'life', 'mumbai.']"
Dev.D,2009,"Comedy, Drama, Romance            ","After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",8.0,"29,736",12,Anurag Kashyap,"Abhay Deol, Mahie Gill, Kalki Koechlin, Dibyendu Bhattacharya","['breaking', 'childhood', 'sweetheart,', 'young', 'man', 'finds', 'solace', 'drugs.', 'meanwhile,', 'teenage', 'girl', 'caught', 'world', 'prostitution.', 'destroyed,', 'find', 'redemption?']"
Bharat,2019,"Action, Comedy, Drama            ","At the cusp of India's birth as an Independent nation, a family makes an arduous journey to freedom at a cost. A young boy Bharat, makes a promise to his Father that he will keep his family together no matter what.",4.9,"29,469",2,Ali Abbas Zafar,"Salman Khan, Katrina Kaif, Sunil Grover, Tabu","['cusp', ""india's"", 'birth', 'independent', 'nation,', 'family', 'makes', 'arduous', 'journey', 'freedom', 'cost.', 'young', 'boy', 'bharat,', 'makes', 'promise', 'father', 'keep', 'family', 'together', 'matter', 'what.']"
